id,hsk_level,chinese,pinyin,english
1,1,爱,ài,love
2,1,爱好,ài hào,hobby
3,1,八,bā,eight
4,1,爸爸｜爸,bàba ｜ bà,dad
5,1,吧,ba,(interjection particle)
6,1,白（形）,bái,white
7,1,白天,bái tiān,day
8,1,百,bǎi,hundred
9,1,班,bān,class
10,1,半,bàn,half
11,1,半年,bàn nián,half a year
12,1,半天,bàn tiān,half day
13,1,帮,bāng,help
14,1,帮忙,bāng máng,help
15,1,包,bāo,package
16,1,包子,bāo zi,bun
17,1,杯,bēi,cup
18,1,杯子,bēi zi,cup
19,1,北,běi,north
20,1,北边,běi biān,North side
21,1,北京,běi jīng,Beijing
22,1,本（量）,běn,(measure word for books or volumes)
23,1,本子,běn zi,book
24,1,比,bǐ,particle used for comparison
25,1,别（副）,bié,Don’t
26,1,别的,bié de,other
27,1,别人,bié·rén,other people
28,1,病,bìng,disease
29,1,病人,bìng rén,patient
30,1,不大,bú dà,not big
31,1,不对,bú duì,wrong
32,1,不客气,bú kè qì,You’re welcome
33,1,不用,bú yòng,No need to
34,1,不,bù,No
35,1,菜,cài,dish
36,1,茶,chá,tea
37,1,差,chà,differ from; bad; short of
38,1,常,cháng,often
39,1,常常,cháng cháng,often
40,1,唱,chàng,sing
41,1,唱歌,chàng gē,sing
42,1,车,chē,car
43,1,车票,chē piào,ticket
44,1,车上,chē shàng,in the car
45,1,车站,chē zhàn,station
46,1,吃,chī,eat
47,1,吃饭,chī fàn,have meal
48,1,出,chū,out
49,1,出来,chū lái,come
50,1,出去,chū qù,go out
51,1,穿,chuān,wear
52,1,床,chuáng,bed
53,1,次（量）,cì,"(measure word for times, frequency)"
54,1,从,cóng,from
55,1,错,cuò,wrong
56,1,打（动）,dǎ,"hit, take"
57,1,打车,dǎ chē,take a taxi
58,1,打电话,dǎ diàn huà,make a phonecall
59,1,打开,dǎ kāi,turn on
60,1,打球,dǎ qiú,play ball
61,1,大,dà,"large, big"
62,1,大学,dà xué,university
63,1,大学生,dà xué shēng,university student
64,1,到,dào,reach
65,1,得到,dé dào,get
66,1,地,de,auxiliary word
67,1,的,de,(aux.)
68,1,等（动）,děng,wait
69,1,地,dì,ground
70,1,地点,dìdiǎn,location
71,1,地方,dìfang,local
72,1,地上,dì shàng,on the ground
73,1,地图,dìtú,Map
74,1,弟弟｜弟,dì di ｜ dì,younger brother
75,1,第（第二）,dì （ dì èr ）,auxiliary word for ordinal numbers (second )
76,1,点,diǎn,spot
77,1,电,diàn,electricity
78,1,电话,diàn huà,phone
79,1,电脑,diànnǎo,Computer
80,1,电视,diànshì,television
81,1,电视机,diàn shì jī,television
82,1,电影,diànyǐng,Film
83,1,电影院,diàn yǐng yuàn,cinema; movie theater
84,1,东,dōng,east
85,1,东边,dōng biān,east side
86,1,东西,dōngxi,thing
87,1,动,dòng,move
88,1,动作,dòngzuò,action
89,1,都,dōu,all
90,1,读,dú,read
91,1,读书,dú shū,reading; study
92,1,对（形）,duì,right
93,1,对不起,duìbuqǐ,I’m sorry.
94,1,多（形、代）,duō,many; much; more
95,1,多少,duōshao,how much
96,1,饿,è,hungry
97,1,儿子,érzi,Son
98,1,二,èr,Two
99,1,饭,fàn,rice; meal
100,1,饭店,fàndiàn,restaurant
101,1,房间,fángjiān,Room
102,1,房子,fáng zi,house; building
103,1,放,fàng,discharge
104,1,放假,fàng jià,holiday; have a holiday
105,1,放学,fàng xué,off school
106,1,飞,fēi,fly
107,1,飞机,fēijī,aircraft
108,1,非常,fēicháng,very
109,1,分（名、量）,fēn,minute; point; part; (measure word)
110,1,风,fēng,wind
111,1,干,gān,dry
112,1,干净,gānjìng,clean
113,1,干,gàn,do
114,1,干什么,gàn shén me,What to do
115,1,高,gāo,high
116,1,高兴,gāoxìng,happy
117,1,告诉,gàosu,tell
118,1,哥哥｜哥,gē ge ｜ gē,elder brother
119,1,歌,gē,song
120,1,个,gè,individual
121,1,给,gěi,give
122,1,跟,gēn,with
123,1,工人,gōngrén,Worker
124,1,工作,gōngzuò,work
125,1,关（动）,guān,shut; close; turn off
126,1,关上,guān shàng,close;shut to; turn off
127,1,贵,guì,noble
128,1,国,guó,country; state; nation
129,1,国家,guójiā,Country
130,1,国外,guó wài,foreign; oversea; abroad
131,1,过,guò,pass
132,1,还,hái,also; still; yet
133,1,还是,háishi,still
134,1,还有,hái yǒu,also; in addition; besides
135,1,孩子,háizi,Children
136,1,汉语,hànyǔ,Chinese
137,1,汉字,hàn zì,Chinese character
138,1,好（形）,hǎo,good
139,1,好吃,hǎochī,Yummy
140,1,好看,hǎo kàn,good looking
141,1,好听,hǎo tīng,pleasant to hear
142,1,好玩儿,hǎo wánr,fun; interesting
143,1,号,hào,Number/date
144,1,喝,hē,drink
145,1,和,hé,and
146,1,很,hěn,very
147,1,后,hòu,back; behind; after; later
148,1,后边,hòu biān,behind; back
149,1,后天,hòu tiān,day after tomorrow
150,1,花（名）,huā,flower
151,1,话,huà,word; words
152,1,坏,huài,bad
153,1,还,huán,return; pay back
154,1,回（动）,huí,go back; return
155,1,回答,huídá,Answer
156,1,回到,huí dào,back to
157,1,回家,huí jiā,go home; return home
158,1,回来,huí lái,come back; return
159,1,回去,huí qù,go back
160,1,会（动）,huì,can; be able to
161,1,火车,huǒ chē,train
162,1,机场,jīchǎng,Airport
163,1,机票,jī piào,air ticket
164,1,鸡蛋,jīdàn,Egg
165,1,几,jǐ,several
166,1,记,jì,remember
167,1,记得,jìdé,remember
168,1,记住,jì zhù,remember; keep in mind
169,1,家,jiā,home
170,1,家里,jiā lǐ,In the home
171,1,家人,jiā rén,family
172,1,间,jiān,between; measure word for rooms
173,1,见,jiàn,see; meet
174,1,见面,jiànmiàn,meet
175,1,教,jiāo,teach
176,1,叫（动）,jiào,call; be called
177,1,教学楼,jiào xué lóu,teaching building
178,1,姐姐｜姐,jiě jie ｜ jiě,elder sister
179,1,介绍,jièshào,introduce
180,1,今年,jīn nián,this year
181,1,今天,jīntiān,Today
182,1,进,jìn,enter
183,1,进来,jìn lái,come in
184,1,进去,jìn qù,go in
185,1,九,jiǔ,Nine
186,1,就,jiù,as soon as; right away; then
187,1,觉得,juéde,Think
188,1,开,kāi,open
189,1,开车,kāi chē,drive; drive a car
190,1,开会,kāi huì,have a meeting
191,1,开玩笑,kāiwánxiào,Make fun of
192,1,看,kàn,see
193,1,看病,kàn bìng,see a doctor
194,1,看到,kàn dào,see
195,1,看见,kànjiàn,seeing
196,1,考,kǎo,test; examine
197,1,考试,kǎoshì,Examination
198,1,渴,kě,thirsty
199,1,课,kè,course
200,1,课本,kè běn,textbook
201,1,课文,kè wén,text
202,1,口,kǒu,mouth
203,1,块,kuài,block
204,1,快,kuài,fast
205,1,来,lái,come
206,1,来到,lái dào,come; arrive
207,1,老（形）,lǎo,old; aged
208,1,老人,lǎo rén,old people; the aged
209,1,老师,lǎoshī,Teacher
210,1,了,le,past tense marker
211,1,累,lèi,tired
212,1,冷,lěng,cold
213,1,里,lǐ,in
214,1,里边,lǐ biān,inside
215,1,两（数）,liǎng,two
216,1,零｜〇,líng ｜ líng,zero
217,1,六,liù,Six
218,1,楼,lóu,floor
219,1,楼上,lóu shàng,upstairs
220,1,楼下,lóu xià,downstairs
221,1,路,lù,road
222,1,路口,lù kǒu,intersection; crossing
223,1,路上,lù shàng,on the road
224,1,妈妈｜妈,mā ma ｜ mā,mom; mother
225,1,马路,mǎ lù,road; street
226,1,马上,mǎshàng,Right off
227,1,吗,ma,auxiliary word
228,1,买,mǎi,buy
229,1,慢,màn,slow
230,1,忙,máng,busy
231,1,毛（量）,máo,a fractional unit of money in China (measure word)
232,1,没,méi,no
233,1,没关系,méiguānxi,No problem
234,1,没什么,méi shén me,It’s nothing
235,1,没事儿,méi shìr,It’s okay
236,1,没有,méi yǒu,have not; no
237,1,妹妹｜妹,mèi mei ｜ mèi,younger sister
238,1,门,mén,door
239,1,门口,mén kǒu,doorway
240,1,门票,mén piào,tickets
241,1,们（朋友们）,men （ péng yǒu men ）,plural marker for pronouns and a few animate nouns (friends)
242,1,米饭,mǐfàn,Steamed Rice
243,1,面包,miànbāo,Bread
244,1,面条儿,miàn tiáor,noodles
245,1,名字,míngzi,Name
246,1,明白,míngbai,clear
247,1,明年,míng nián,next year
248,1,明天,míngtiān,Tomorrow
249,1,拿,ná,take
250,1,哪,nǎ,which
251,1,哪里,nǎ lǐ,where
252,1,哪儿,nǎr,where
253,1,哪些,nǎ xiē,which
254,1,那（代）,nà,that
255,1,那边,nà biān,there
256,1,那里,nà lǐ,there
257,1,那儿,nàr,there
258,1,那些,nà xiē,those
259,1,奶,nǎi,milk
260,1,奶奶,nǎinai,grandma
261,1,男,nán,Man
262,1,男孩儿,nán háir,boy
263,1,男朋友,nán péng yǒu,boyfriend
264,1,男人,nán ren,man
265,1,男生,nán shēng,boy
266,1,南,nán,south
267,1,南边,nán biān,south; south side
268,1,难,nán,"hard, difficult"
269,1,呢,ne,auxiliary word
270,1,能,néng,can
271,1,你,nǐ,you
272,1,你们,nǐ men,you
273,1,年,nián,year
274,1,您,nín,you
275,1,牛奶,niúnǎi,milk
276,1,女,nǚ,woman
277,1,女儿,nǚ’ér,daughter
278,1,女孩儿,nǚ háir,girl
279,1,女朋友,nǚ péng yǒu,girlfriend
280,1,女人,nǚ ren,woman
281,1,女生,nǚ shēng,girl
282,1,旁边,pángbiān,Side
283,1,跑,pǎo,run
284,1,朋友,péngyou,Friend
285,1,票,piào,ticket
286,1,七,qī,Seven
287,1,起,qǐ,get up; start; rise
288,1,起床,qǐchuáng,Get up
289,1,起来,qǐlái,get up
290,1,汽车,qì chē,car
291,1,前,qián,front
292,1,前边,qián biān,in front
293,1,前天,qián tiān,the day before yesterday
294,1,钱,qián,money
295,1,钱包,qián bāo,wallet
296,1,请,qǐng,please
297,1,请假,qǐngjià,ask for leave
298,1,请进,qǐng jìn,please come in
299,1,请问,qǐng wèn,excuse me
300,1,请坐,qǐng zuò,please have a seat
301,1,球,qiú,ball
302,1,去,qù,go
303,1,去年,qùnián,Last year
304,1,热,rè,heat
305,1,人,rén,people
306,1,认识,rènshi,know
307,1,认真,rènzhēn,earnest
308,1,日,rì,date
309,1,日期,rìqī,Date
310,1,肉,ròu,meat
311,1,三,sān,Three
312,1,山,shān,mountain
313,1,商场,shāng chǎng,mall; shopping mall
314,1,商店,shāngdiàn,Shop
315,1,上,shàng,upper
316,1,上班,shàngbān,go to work
317,1,上边,shàng biān,above; on
318,1,上车,shàng chē,get on
319,1,上次,shàng cì,last time
320,1,上课,shàng kè,attend class; have a class
321,1,上网,shàngwǎng,Surf the Internet
322,1,上午,shàngwǔ,morning
323,1,上学,shàng xué,go to school
324,1,少,shǎo,less
325,1,谁,shéi,who
326,1,身上,shēn shàng,body; on one’s body
327,1,身体,shēntǐ,body
328,1,什么,shénme,What
329,1,生病,shēngbìng,Fall ill
330,1,生气,shēngqì,get angry
331,1,生日,shēngrì,Birthday
332,1,十,shí,Ten
333,1,时候,shíhou,time
334,1,时间,shíjiān,time
335,1,事,shì,thing
336,1,试,shì,try
337,1,是,shì,yes
338,1,是不是,shì bú shì,isn’t it?
339,1,手,shǒu,hand
340,1,手机,shǒujī,Mobile phone
341,1,书,shū,book
342,1,书包,shū bāo,school bag
343,1,书店,shū diàn,bookstore
344,1,树,shù,tree
345,1,水,shuǐ,water
346,1,水果,shuǐguǒ,Fruits
347,1,睡,shuì,sleep
348,1,睡觉,shuìjiào,sleep
349,1,说,shuō,speak
350,1,说话,shuōhuà,talk
351,1,四,sì,Four
352,1,送,sòng,give
353,1,岁,suì,"year, age"
354,1,他,tā,he
355,1,他们,tā men,they
356,1,她,tā,she
357,1,她们,tā men,they
358,1,太,tài,too
359,1,天,tiān,day
360,1,天气,tiānqì,weather
361,1,听,tīng,hear
362,1,听到,tīng dào,hear
363,1,听见,tīng jiàn,hear
364,1,听写,tīng xiě,dictation; dictate
365,1,同学,tóngxué,Classmate
366,1,图书馆,túshūguǎn,Library
367,1,外,wài,"abroad, outside"
368,1,外边,wài biān,outside
369,1,外国,wài guó,foreign country
370,1,外语,wài yǔ,foreign language
371,1,玩儿,wánr,play
372,1,晚,wǎn,late
373,1,晚饭,wǎn fàn,dinner
374,1,晚上,wǎnshang,Night
375,1,网上,wǎng shàng,online
376,1,网友,wǎng yǒu,net friend
377,1,忘,wàng,forget
378,1,忘记,wàngjì,forget
379,1,问,wèn,ask
380,1,我,wǒ,I
381,1,我们,wǒmen,We
382,1,五,wǔ,Five
383,1,午饭,wǔ fàn,lunch
384,1,西,xī,west
385,1,西边,xī biān,west; west side
386,1,洗,xǐ,wash
387,1,洗手间,xǐshǒujiān,Restroom
388,1,喜欢,xǐhuan,like
389,1,下（名、动）,xià,below; under; next; go down; get off
390,1,下班,xià bān,get off work
391,1,下边,xià biān,below; under
392,1,下车,xià chē,get off
393,1,下次,xià cì,next time
394,1,下课,xià kè,finish class
395,1,下午,xiàwǔ,Afternoon
396,1,下雨,xiàyǔ,rain
397,1,先,xiān,before
398,1,先生,xiānsheng,Sir
399,1,现在,xiànzài,Now
400,1,想,xiǎng,think
401,1,小,xiǎo,Small
402,1,小孩儿,xiǎo háir,child; kid
403,1,小姐,xiǎojiě,Miss
404,1,小朋友,xiǎo péng yǒu,child; kid
405,1,小时,xiǎoshí,hour
406,1,小学,xiǎo xué,primary school; elementary school
407,1,小学生,xiǎo xué shēng,elementary school student
408,1,笑,xiào,laugh
409,1,写,xiě,write
410,1,谢谢,xièxie,Thank you
411,1,新,xīn,new
412,1,新年,xīn nián,New Year
413,1,星期,xīngqī,week
414,1,星期日,xīng qī rì,Sunday
415,1,星期天,xīng qī tiān,Sunday
416,1,行,xíng,That’s ok
417,1,休息,xiūxi,Rest
418,1,学,xué,learn; study
419,1,学生,xuésheng,Student
420,1,学习,xuéxí,Study
421,1,学校,xuéxiào,School
422,1,学院,xué yuàn,college; academy
423,1,要（动）,yào,want
424,1,爷爷,yéye,grandpa
425,1,也,yě,also
426,1,页,yè,page
427,1,一,yī,One
428,1,衣服,yīfu,clothes
429,1,医生,yīshēng,Doctor
430,1,医院,yīyuàn,Hospital
431,1,一半,yí bàn,half
432,1,一会儿,yíhuìr,A little while
433,1,一块儿,yí kuàir,together
434,1,一下儿,yí xiàr,a little bit
435,1,一样,yíyàng,equally
436,1,一边,yìbiān,One side
437,1,一点儿,yīdiǎnr,a little bit
438,1,一起,yìqǐ,together
439,1,一些,yì xiē,some
440,1,用,yòng,use
441,1,有,yǒu,have
442,1,有的,yǒu de,some
443,1,有名,yǒumíng,Famous
444,1,有时候｜有时,yǒu shí hòu ｜ yǒu shí,sometimes
445,1,有（一）些,yǒu （ yì ） xiē,some
446,1,有用,yǒu yòng,useful
447,1,右,yòu,right
448,1,右边,yòubian,Right
449,1,雨,yǔ,rain
450,1,元,yuán,element; Yuan
451,1,远,yuǎn,far
452,1,月,yuè,month
453,1,再,zài,again
454,1,再见,zàijiàn,Bye
455,1,在,zài,stay; in process of
456,1,在家,zài jiā,at home
457,1,早,zǎo,early
458,1,早饭,zǎo fàn,breakfast
459,1,早上,zǎoshang,Morning
460,1,怎么,zěnme,How
461,1,站（名）,zhàn,station
462,1,找,zhǎo,look for
463,1,找到,zhǎo dào,find
464,1,这,zhè,Here (here)
465,1,这边,zhè biān,here
466,1,这里,zhè lǐ,here
467,1,这儿,zhèr,here
468,1,这些,zhè xiē,these
469,1,着,zhe,in process of
470,1,真,zhēn,really
471,1,真的,zhēn de,really
472,1,正（副）,zhèng,just; exactly
473,1,正在,zhèngzài,in process of
474,1,知道,zhīdào,know
475,1,知识,zhīshi,knowledge
476,1,中,zhōng,middle; in
477,1,中国,zhōngguó,China
478,1,中间,zhōngjiān,Middle
479,1,中文,zhōngwén,Chinese
480,1,中午,zhōngwǔ,Noon
481,1,中学,zhōng xué,middle school
482,1,中学生,zhōng xué shēng,middle School student
483,1,重,zhòng,heavy
484,1,重要,zhòngyào,important
485,1,住,zhù,live
486,1,准备,zhǔnbèi,Get ready
487,1,桌子,zhuōzi,Table
488,1,字,zì,"word, character"
489,1,子（桌子）,zi （ zhuō zi ）,noun suffix (table)
490,1,走,zǒu,"go, walk"
491,1,走路,zǒu lù,walk
492,1,最,zuì,most
493,1,最好,zuìhǎo,Best
494,1,最后,zuìhòu,Last
495,1,昨天,zuótiān,Yesterday
496,1,左,zuǒ,left
497,1,左边,zuǒbian,left
498,1,坐,zuò,sit
499,1,坐下,zuò xià,sit down
500,1,做,zuò,do
501,2,啊,a,auxiliary word
502,2,爱情,àiqíng,Love
503,2,爱人,ài rén,lover
504,2,安静,ānjìng,Be quiet
505,2,安全,ānquán,security
506,2,白色,bái sè,white
507,2,班长,bān zhǎng,monitor; squad leader
508,2,办,bàn,do
509,2,办法,bànfǎ,Way
510,2,办公室,bàngōngshì,Office
511,2,半夜,bàn yè,midnight
512,2,帮助,bāngzhù,Help
513,2,饱,bǎo,full
514,2,报名,bàomíng,sign up
515,2,报纸,bàozhǐ,Newspaper
516,2,北方,běifāng,north
517,2,背（动）,bēi,carry on the back; shoulder
518,2,比如,bǐrú,such as
519,2,比如说,bǐ rú shuō,for example
520,2,笔,bǐ,pen
521,2,笔记,bǐ jì,note; notes
522,2,笔记本,bǐjìběn,Notebook
523,2,必须,bìxū,Must
524,2,边,biān,side
525,2,变,biàn,change
526,2,变成,biàn chéng,become; change into
527,2,遍,biàn,Times
528,2,表,biǎo,watch
529,2,表示,biǎoshì,Express
530,2,不错,bú cuò,not bad; pretty good
531,2,不但,bú dàn,not only
532,2,不够,bú gòu,not enough
533,2,不过,búguò,However
534,2,不太,bú tài,not too; not very much
535,2,不要,bú yào,don’t
536,2,不好意思,bù hǎo yì sī,sorry; feel embarrassed
537,2,不久,bù jiǔ,soon
538,2,不满,bù mǎn,dissatisfied
539,2,不如,bùrú,not as good as
540,2,不少,bù shǎo,not a few; a lot
541,2,不同,bù tóng,different
542,2,不行,bù xíng,no way; be out of the question
543,2,不一定,bù yī dìng,not necessarily; uncertain
544,2,不一会儿,bù yī huìr,in a moment; in a little while; soon
545,2,部分,bùfen,Part
546,2,才（副）,cái,only; just
547,2,菜单,càidān,menu
548,2,参观,cānguān,visit
549,2,参加,cānjiā,participate in
550,2,草,cǎo,grass
551,2,草地,cǎo dì,grass; lawn
552,2,层,céng,layer
553,2,查,chá,search; check
554,2,差不多,chàbuduō,Almost
555,2,长,cháng,long
556,2,常见,cháng jiàn,common
557,2,常用,cháng yòng,in common use
558,2,场,chǎng,site
559,2,超过,chāoguò,Exceed
560,2,超市,chāoshì,Supermarket
561,2,车辆,chē liàng,car; vehicle
562,2,称¹（动）,chēng,call; say
563,2,成（动）,chéng,become; finish
564,2,成绩,chéngjì,achievement
565,2,成为,chéngwéi,Become
566,2,重复,chóngfù,repeat
567,2,重新,chóngxīn,again
568,2,出发,chūfā,Set out
569,2,出国,chū guó,go abroad
